,,,,,,,,,,,,,,<- Call Option,,,Put Option ->,,,,,,,,,,,,,,
Open Interest,Delta,Gamma,Vega,Theta,Rho,IV Chg,Midpt Price Chg,Trade Count,Volume,Bid IV,Bid Price,Theo Price,Ask Price,Ask IV,Expiration,Strike Price,Bid IV,Bid Price,Theo Price,Ask Price,Ask IV,Trade Count,Volume,Open Interest,Delta,Gamma,Vega,Theta,Rho,IV Chg,Midpt Price Chg
152,1,0,0,-0.0548,0.021,-42.46,2.77,2,2,0.1,182.92,,183.59,206,SPY 01-Dec-25,500,0.1,0,,0.01,148.75,0,0,373,0,0,0,0,0,-42.46,0
0,0.9999,0,0.0001,-0.0609,0.0212,22.12,2.535,0,0,0.1,176.66,,179.65,256.33,SPY 01-Dec-25,505,0.1,0,,0.01,146.97,0,0,30,0,0,0,0,0,22.12,0
166,1,0,0,-0.0559,0.0214,-38.21,2.815,0,0,0.1,173.23,,173.37,150.25,SPY 01-Dec-25,510,0.1,0,,0.01,141.98,0,0,57,0,0,0,0,0,-38.21,0
162,1,0,0,-0.0564,0.0217,-38.68,2.81,1,4,0.1,168.23,,168.37,142.49,SPY 01-Dec-25,515,0.1,0,,0.01,136.84,1,1,240,0,0,0,0,0,-38.68,0
12,0.9999,0,0.0001,-0.0631,0.0219,18.375,2.53,0,0,0.1,161.66,,164.65,234.68,SPY 01-Dec-25,520,0.1,0,,0.01,131.62,0,0,202,0,0,0,0,0,18.375,0
0,0.9999,0,0.0001,-0.0638,0.0221,17.94,2.55,1,1,0.1,156.66,,159.65,227.6,SPY 01-Dec-25,525,0.1,0,,0.01,127.99,0,0,73,0,0,0,0,0,17.94,0
96,0.9998,0,0.0005,-0.0679,0.0223,17.25,2.625,0,0,0.1,151.64,,154.87,227.12,SPY 01-Dec-25,530,0.1,0,,0.01,123.65,0,0,389,0,0,0,0,0,17.25,0
1,0.9999,0,0.0001,-0.0653,0.0225,16.78,2.53,0,0,0.1,146.67,,149.65,213.65,SPY 01-Dec-25,535,0.1,0,,0.01,120.26,0,0,411,0,0,0,0,0,16.78,0
0,0.9999,0,0.0002,-0.066,0.0227,15.385,2.52,0,0,0.1,141.67,,144.65,206.78,SPY 01-Dec-25,540,0.1,0,,0.01,114.9,0,0,229,0,0,0,0,0,15.385,0
1,0.9999,0,0.0004,-0.0668,0.0229,15.415,2.5,0,0,0.1,136.68,,139.65,199.97,SPY 01-Dec-25,545,0.1,0,,0.01,111.71,0,0,297,0,0,0,0,0,15.415,0
0,0.9999,0,0.0005,-0.0681,0.0231,15.63,2.83,0,0,0.1,132.02,,134.65,193.22,SPY 01-Dec-25,550,0.1,0,,0.01,106.64,4,18,420,0,0,0,0,0,15.63,0
18,0.9997,0,0.0005,-0.0758,0.0233,15.2,2.645,0,0,0.1,126.76,,129.87,192.92,SPY 01-Dec-25,555,0.1,0,,0.01,102.76,0,0,422,0,0,0,0,0,15.2,0
1,0.9998,0,0.0005,-0.0713,0.0235,14.665,2.5,0,0,0.1,121.67,,124.65,179.92,SPY 01-Dec-25,560,0.1,0,,0.01,98.6,0,0,475,0,0,0,0,0,14.665,0
0,0.9998,0,0.0005,-0.0729,0.0237,14.57,2.49,0,0,0.1,116.67,,119.65,173.35,SPY 01-Dec-25,565,0.1,0,,0.01,96.17,0,0,632,0,0,0,0,0,14.57,0
0,0.9997,0,0.0005,-0.0744,0.024,12.92,2.635,0,0,0.1,111.67,,114.65,166.85,SPY 01-Dec-25,570,0.1,0,,0.01,89.59,0,0,521,0,0,0,0,0,12.92,0
0,0.9997,0,0.0005,-0.076,0.0242,12.51,2.65,0,0,0.1,106.67,,109.65,160.4,SPY 01-Dec-25,575,0.1,0,,0.01,85.7,0,0,262,0,0,0,0,0,12.51,0
2,0.9997,0,0.0005,-0.0776,0.0244,12.695,2.52,0,0,0.1,101.67,,104.65,154.01,SPY 01-Dec-25,580,0.1,0,,0.01,82.48,1,1,470,0,0,0,0,0,12.695,0
1,0.9996,0,0.0005,-0.0792,0.0246,-17.575,2.495,0,0,0.1,96.67,,99.65,147.68,SPY 01-Dec-25,585,0.1,0,,0.01,78.75,3,11,508,0,0,0,0,0,-17.575,-0.01
21,0.9993,0.0001,0.0015,-0.0897,0.0248,-16.04,2.625,0,0,0.1,91.77,,94.88,145.98,SPY 01-Dec-25,590,0.1,0,,0.01,75.46,0,0,299,0,0,0,0,0,-16.04,-0.01
